owning_agency_name,reporting_agency_name,submission_period,allocation_transfer_agency_identifier_code,agency_identifier_code,beginning_period_of_availability,ending_period_of_availability,availability_type_code,main_account_code,sub_account_code,treasury_account_symbol,treasury_account_name,agency_identifier_name,allocation_transfer_agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,gross_outlay_amount,last_modified_date
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0390,000,075-2020/2021-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,31.0,Equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",452611.65,-39193.60,1676302.06,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0390,000,075-2020/2021-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,11.7,Military personnel,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",223086.62,0.00,406790.90,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0390,000,075-2020/2021-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,25.3,Other goods and services from Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",3093.50,0.00,4974.03,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0943,000,075-2020/2022-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),41.0,"Grants, subsidies, and contributions",D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",100000.00,-820000.00,135743734.12,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0943,000,075-2020/2022-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),11.3,Other than full-time permanent,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",704383.38,-67438.58,1149538.28,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0943,000,075-2020/2022-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),31.0,Equipment,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",15319.72,-15724.70,438007.91,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0943,000,075-2020/2022-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),26.0,Supplies and materials,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",1115912.41,-214172.20,48508575.58,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0943,000,075-2020/2022-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),11.1,Full-time permanent,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",200773.67,-18882.20,294153.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2023,,0511,000,075-2020/2023-0511-000,"Program Management, Centers for Medicare and Medicaid Services",Department of Health and Human Services,,Health,Health care services,075-0511,"Program Management, Centers for Medicare and Medicaid Services",0001,PROGRAM OPERATIONS,26.0,Supplies and materials,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,-4407.34,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2023,,0511,000,075-2020/2023-0511-000,"Program Management, Centers for Medicare and Medicaid Services",Department of Health and Human Services,,Health,Health care services,075-0511,"Program Management, Centers for Medicare and Medicaid Services",0001,PROGRAM OPERATIONS,25.3,Other goods and services from Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,956.28,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2023,,0511,000,075-2020/2023-0511-000,"Program Management, Centers for Medicare and Medicaid Services",Department of Health and Human Services,,Health,Health care services,075-0511,"Program Management, Centers for Medicare and Medicaid Services",0001,PROGRAM OPERATIONS,23.3,"Communications, utilities, and miscellaneous charges",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,11919.84,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2023,,0511,000,075-2020/2023-0511-000,"Program Management, Centers for Medicare and Medicaid Services",Department of Health and Human Services,,Health,Health care services,075-0511,"Program Management, Centers for Medicare and Medicaid Services",0001,PROGRAM OPERATIONS,25.2,Other services from non-Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",211068.28,-548845.58,6856405.15,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2023,,0511,000,075-2020/2023-0511-000,"Program Management, Centers for Medicare and Medicaid Services",Department of Health and Human Services,,Health,Health care services,075-0511,"Program Management, Centers for Medicare and Medicaid Services",0003,STATE SURVEY AND CERTIFICATION,25.6,Medical care,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,8882357.54,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2023,,0511,000,075-2020/2023-0511-000,"Program Management, Centers for Medicare and Medicaid Services",Department of Health and Human Services,,Health,Health care services,075-0511,"Program Management, Centers for Medicare and Medicaid Services",0003,STATE SURVEY AND CERTIFICATION,25.2,Other services from non-Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",188354.80,0.00,1335737.39,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2023,,0511,000,075-2020/2023-0511-000,"Program Management, Centers for Medicare and Medicaid Services",Department of Health and Human Services,,Health,Health care services,075-0511,"Program Management, Centers for Medicare and Medicaid Services",0001,PROGRAM OPERATIONS,31.0,Equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,13728.54,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2023,,0511,000,075-2020/2023-0511-000,"Program Management, Centers for Medicare and Medicaid Services",Department of Health and Human Services,,Health,Health care services,075-0511,"Program Management, Centers for Medicare and Medicaid Services",0003,STATE SURVEY AND CERTIFICATION,26.0,Supplies and materials,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",37534.25,0.00,37534.25,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,26.0,Supplies and materials,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",24810387.96,-43808.16,642989826.68,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,26.0,Supplies and materials,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",1062574.34,-41882.64,73471636.64,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.7,Operation and maintenance of equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",17782549.26,-11000.00,992214.36,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.7,Operation and maintenance of equipment,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",246455.36,0.00,22413.56,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,32.0,Land and structures,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,100983.75,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,41.0,"Grants, subsidies, and contributions",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",53244264.00,0.00,231727111.15,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,41.0,"Grants, subsidies, and contributions",D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",0.00,0.00,12801735.46,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,21.0,Travel and transportation of persons,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",864228.32,-207508.55,867083.54,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,32.0,Land and structures,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",0.00,0.00,73862.68,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0390,000,075-2020/2021-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,23.3,"Communications, utilities, and miscellaneous charges",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",41244.98,-189.63,57035.19,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0390,000,075-2020/2021-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,25.8,Subsistence and support of persons,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0944,000,075-2020/2021-0944-000,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0944,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",0001,"AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY, TOXIC SUBSTANC (DIRECT)",11.3,Other than full-time permanent,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",47088.01,-2318.89,47482.40,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0944,000,075-2020/2021-0944-000,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0944,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",0001,"AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY, TOXIC SUBSTANC (DIRECT)",11.5,Other personnel compensation,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",3230.90,0.00,1956.18,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0944,000,075-2020/2021-0944-000,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0944,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",0001,"AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY, TOXIC SUBSTANC (DIRECT)",11.7,Military personnel,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",238.00,0.00,102071.20,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0944,000,075-2020/2021-0944-000,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0944,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",0001,"AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY, TOXIC SUBSTANC (DIRECT)",12.1,Civilian personnel benefits,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",15955.11,-0.08,19416.64,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0944,000,075-2020/2021-0944-000,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0944,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",0001,"AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY, TOXIC SUBSTANC (DIRECT)",41.0,"Grants, subsidies, and contributions",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,91674.12,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0944,000,075-2020/2021-0944-000,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0944,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",0001,"AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY, TOXIC SUBSTANC (DIRECT)",12.2,Military personnel benefits,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,-3762.71,2842.65,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0944,000,075-2020/2021-0944-000,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0944,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",0001,"AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY, TOXIC SUBSTANC (DIRECT)",11.1,Full-time permanent,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",1324.32,-1324.32,7612.80,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0944,000,075-2020/2021-0944-000,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0944,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",0001,"AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY, TOXIC SUBSTANC (DIRECT)",25.7,Operation and maintenance of equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,18335.25,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0944,000,075-2020/2021-0944-000,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0944,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",0001,"AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY, TOXIC SUBSTANC (DIRECT)",21.0,Travel and transportation of persons,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0944,000,075-2020/2021-0944-000,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0944,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",0001,"AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY, TOXIC SUBSTANC (DIRECT)",25.3,Other goods and services from Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,30187.47,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0944,000,075-2020/2021-0944-000,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0944,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",0001,"AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY, TOXIC SUBSTANC (DIRECT)",25.1,Advisory and assistance services,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,938132.96,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,1362,000,075-2020/2021-1362-000,"Health Surveillance and Program Support, Substance Abuse and Mental Health Services Administration, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-1362,"Health Surveillance and Program Support, Substance Abuse and Mental Health Services Administration, Health and Human Services",0009,HEALTH SURVEILLANCE AND PROGRAM SUPPORT,41.0,"Grants, subsidies, and contributions",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,11395068.51,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,1362,000,075-2020/2021-1362-000,"Health Surveillance and Program Support, Substance Abuse and Mental Health Services Administration, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-1362,"Health Surveillance and Program Support, Substance Abuse and Mental Health Services Administration, Health and Human Services",0006,MENTAL HEALTH,41.0,"Grants, subsidies, and contributions",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",800000.00,0.00,21305329.62,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0356,000,075-2020/2022-0356-000,"Ryan White HIV/AIDS Program, Health Resources and Services Administration, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0356,"Ryan White HIV/AIDS Program, Health Resources and Services Administration, Health and Human Services",0035,RYAN WHITE HIV/AIDS,25.2,Other services from non-Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",24.37,0.00,102187.37,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0356,000,075-2020/2022-0356-000,"Ryan White HIV/AIDS Program, Health Resources and Services Administration, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0356,"Ryan White HIV/AIDS Program, Health Resources and Services Administration, Health and Human Services",0035,RYAN WHITE HIV/AIDS,41.0,"Grants, subsidies, and contributions",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,-70896.00,14687807.81,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0357,000,075-2020/2022-0357-000,"Health Care Systems, Health Resources and Services Administration, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0357,"Health Care Systems, Health Resources and Services Administration, Health and Human Services",0040,HEALTH CARE SYSTEMS,41.0,"Grants, subsidies, and contributions",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,1501955.61,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0358,000,075-2020/2022-0358-000,"Rural Health, Health Resources and Services Administration, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0358,"Rural Health, Health Resources and Services Administration, Health and Human Services",0045,RURAL HEALTH,11.1,Full-time permanent,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",60893.86,-881.41,63772.80,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0358,000,075-2020/2022-0358-000,"Rural Health, Health Resources and Services Administration, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0358,"Rural Health, Health Resources and Services Administration, Health and Human Services",0045,RURAL HEALTH,12.1,Civilian personnel benefits,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",21770.57,-2676.24,20021.67,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0358,000,075-2020/2022-0358-000,"Rural Health, Health Resources and Services Administration, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0358,"Rural Health, Health Resources and Services Administration, Health and Human Services",0045,RURAL HEALTH,25.2,Other services from non-Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,56206.76,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,21.0,Travel and transportation of persons,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",67210.62,-687.64,12304.65,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,22.0,Transportation of things,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",12343.85,-0.14,1287618.45,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,31.0,Equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",135983.49,0.00,1368294.53,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,31.0,Equipment,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",525460.86,-28528.83,1435888.31,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.8,Special personal services payments,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,22.0,Transportation of things,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",10705000.00,-11116.55,3194790.87,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,12.1,Civilian personnel benefits,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",17859.55,-7093.57,37332.02,2021-01-28
